weight,num,max
105,4,1.98906E-12
105.1,4,1.98543E-12
105.2,4,1.9818E-12
105.3,2,1.97818E-12
105.4,2,1.97457E-12
105.5,2,1.97096E-12
105.6,2,1.96736E-12
105.7,2,1.96377E-12
105.8,2,1.96018E-12
105.9,2,1.9566E-12
106,2,1.95303E-12
106.1,2,1.94946E-12
106.2,2,1.9459E-12
106.3,2,1.94234E-12
106.4,2,1.93879E-12
106.5,2,1.93525E-12
106.6,2,1.93172E-12
106.7,2,1.92819E-12
106.8,2,1.92466E-12
106.9,2,1.92115E-12
107,2,1.91764E-12
107.1,2,1.91413E-12
107.2,2,1.91063E-12
107.3,2,1.90714E-12
107.4,2,1.90366E-12
107.5,2,1.90018E-12
107.6,2,1.89671E-12
107.7,2,1.89324E-12
107.8,2,1.88978E-12
107.9,2,1.88632E-12
108,2,1.88287E-12
108.1,2,1.87943E-12
108.2,2,1.876E-12
108.3,2,1.87257E-12
108.4,2,1.86914E-12
108.5,2,1.86572E-12
